"tau_Av_Int.ns._count_below_threshold","tau_Av_Int.ns._n_total","file_name","percentage_below_threshold"
56,167,"AB31_AB349_10.csv",33.5329341317365
215,1007,"AB31_AB349_2.csv",21.3505461767627
349,1695,"AB31_AB349_3.csv",20.5899705014749
225,742,"AB31_AB349_4.csv",30.3234501347709
209,882,"AB31_AB349_5.csv",23.6961451247166
203,1070,"AB31_AB349_6.csv",18.9719626168224
361,1241,"AB31_AB349_7.csv",29.0894439967768
368,1269,"AB31_AB349_8.csv",28.9992119779354
127,480,"AB31_AB349_9.csv",26.4583333333333
286,1212,"AB31_AB349_P2_10.csv",23.5973597359736
71,293,"AB31_AB349_P2_11.csv",24.2320819112628
500,1566,"AB31_AB349_P2_2.csv",31.9284802043423
332,1341,"AB31_AB349_P2_3.csv",24.7576435495899
239,1039,"AB31_AB349_P2_4.csv",23.0028873917228
178,883,"AB31_AB349_P2_5.csv",20.158550396376
315,1326,"AB31_AB349_P2_6.csv",23.7556561085973
277,1225,"AB31_AB349_P2_7.csv",22.6122448979592
296,935,"AB31_AB349_P2_8.csv",31.6577540106952
43,201,"AB31_AB349_P2_9.csv",21.3930348258706
414,1802,"AB31_AB349_P3_1.csv",22.9744728079911
635,1694,"AB31_AB349_P3_10.csv",37.4852420306966
126,521,"AB31_AB349_P3_2.csv",24.1842610364683
344,1488,"AB31_AB349_P3_3.csv",23.1182795698925
261,1041,"AB31_AB349_P3_4.csv",25.0720461095101
790,3004,"AB31_AB349_P3_5.csv",26.2982689747004
445,1533,"AB31_AB349_P3_6.csv",29.0280495759948
441,1643,"AB31_AB349_P3_7.csv",26.8411442483262
396,1476,"AB31_AB349_P3_8.csv",26.8292682926829
422,1084,"AB31_AB349_P3_9.csv",38.929889298893
